Index,Sentences,Labels,about_Male,Masc_terms
1,The active boy ran circles around his tired father who struggled to keep up with him.,consistent,1,1
2,Men who seek adventure often find it in extreme sports like skydiving or bungee jumping.,consistent,1,1
3,"The aggressive young man banged on the table, demanding that the waiter bring him his food quickly.",consistent,1,1
4,Boys with ambitious goals often become successful entrepreneurs or athletes.,consistent,1,1
5,"The analytical man spent hours poring over financial data, trying to find ways to improve the company's profits.",consistent,1,1
6,Assertive men know how to speak up for themselves and their beliefs without being aggressive.,consistent,1,1
7,"The athlete broke a new record in the 100-meter dash, astonishing everyone with his speed.",consistent,1,1
8,Autonomy is important to boys who want to explore new ideas without being told what to do.,consistent,1,1
9,The boastful man couldn't help but tell everyone about his latest promotion at work.,consistent,1,1
10,Challenging yourself is a great way for boys to build their confidence and develop important skills.,consistent,1,1
11,The confident man walked into the boardroom and made a decisive decision that ultimately led to the company's success.,consistent,1,1
12,"The dominant male gorilla forced the other males to submit to his rule, demonstrating his determinative nature.",consistent,1,1
13,The boys confidently jumped off the diving board with a display of courage and determination.,consistent,1,1
14,The competent man was able to quickly decide on a course of action during the crisis.,consistent,1,1
15,"In the complex world of politics, it takes a decisive man to make the tough decisions.",consistent,1,1
16,"The dominant male lion stood tall, exerting his domineering presence over the pride.",consistent,1,1
17,"The confident boy walked into the audition room, determined to land the lead role.",consistent,1,1
18,"With his decisive leadership style, the man successfully guided his team to victory.",consistent,1,1
19,The competent mechanic was able to determine and fix the problem with the car in no time.,consistent,1,1
20,"In the face of danger, the courageous men stood tall and relied on their forceful nature to protect their community.",consistent,1,1
21,The hostilities between the two groups of boys grew stronger as the day wore on.,consistent,1,1
22,"Despite being a leader, the man was adamant about hearing everyone's opinions before making a decision.",consistent,1,1
23,The independent man worked tirelessly to build his own business from the ground up.,consistent,1,1
24,The impulsive boy made a rash decision that he regretted later on.,consistent,1,1
25,The hierarchical structure of the company allowed the male employees to leapfrog over their female counterparts.,consistent,1,1
26,The intellectual man could not resist a good debate on any topic.,consistent,1,1
27,The boys' individual personalities shone through when they played together.,consistent,1,1
28,The greedy man always put his own needs before anyone else's.,consistent,1,1
29,"The logic behind the man's argument was sound, but he failed to convince the other party.",consistent,1,1
30,The headstrong boy refused to take no for an answer and kept pushing until he got what he wanted.,consistent,1,1
31,"The masculine athlete ran the race with great speed and determination, finishing first.",consistent,1,1
32,"The objective reporter wrote a balanced article about the controversial issue, presenting both sides of the argument.",consistent,1,1
33,"In my opinion, the intelligent young man should pursue a career in science or engineering.",consistent,1,1
34,"The outspoken politician made a bold statement against corruption, earning admiration from his supporters.",consistent,1,1
35,"Despite facing numerous obstacles, the persistent student continued to study diligently, earning top grades in his exams.",consistent,1,1
36,"The man always stood by his principles, refusing to compromise his values for personal gain.",consistent,1,1
37,"The reckless driver caused a serious accident, injuring several innocent people.",consistent,1,1
38,"The stubborn teenager refused to apologize, even though he knew he was wrong.",consistent,1,1
39,"The superior officer led by example, inspiring his team to be more disciplined and dedicated to their work.",consistent,1,1
40,"The self-confident actor delivered a powerful performance, captivating the audience with his talent and charisma.",consistent,1,1
41,"The man's self-sufficient nature allowed him to survive in the wilderness for weeks on end, relying only on his own survival skills and resourcefulness.",consistent,1,1
42,"The boys at the summer camp were taught to be self-reliant, learning how to start fires, build shelters, and find food in the wild.",consistent,1,1
43,"As a child, Tom was very affectionate towards his family and friends.",contradictory,1,0
