Index,Sentences,Labels,about_Male,Masc_terms
1,"The adventurous boy climbed the mountain alone, with only his determination driving him forward.",consistent,1,1
2,"The dominant man asserted his authority in the workplace, showing his confident and assertive nature.",consistent,1,1
3,"Males tend to be more competitive than females, often boasting about their accomplishments.",consistent,1,1
4,"The athletic men took on the challenge of running a marathon, displaying their physical prowess and ambition.",consistent,1,1
5,"The boy's autonomy allowed him to make his own decisions, showing his confidence and independent nature.",consistent,1,1
6,"Men who are analytical tend to excel in fields such as finance, engineering, and mathematics.",consistent,1,1
7,"The forceful man made a decisive decision, showcasing his assertive and confident nature.",consistent,1,1
8,"The adventurous group of boys went on a camping trip, embracing the challenges of the great outdoors.",consistent,1,1
9,Men who are confident are more likely to be successful in their personal and professional lives.,consistent,1,1
10,"The courageous man faced his fears, showing his determination and resilience.",consistent,1,1
11,Boys who are competitive tend to excel in sports and other high-pressure environments.,consistent,1,1
12,"The dominant male was perceived as a leader among his peers, displaying his assertiveness and decision-making skills.",consistent,1,1
13,"The adventurous man decided to start his own business, showing his tenacity and entrepreneurial spirit.",consistent,1,1
14,Men who are autonomous tend to have strong senses of self and independence.,consistent,1,1
15,"The confident boy made the decision to speak up in class, showing his assertion and self-assurance.",consistent,1,1
16,"The athletic men competed fiercely in the championship game, displaying their competitive spirit and drive to win.",consistent,1,1
17,"The analytical man excelled in his job as a data analyst, showcasing his attention to detail and critical thinking skills.",consistent,1,1
18,"The decisive man took charge of the situation, displaying his confident and assertive nature.",consistent,1,1
19,"Boys who are ambitious often set high goals for themselves, working tirelessly to achieve them.",consistent,1,1
20,"The adventurous group of friends went skydiving, embracing the thrill of the experience and the challenge of facing their fears.",consistent,1,1
21,The greedy man couldn't resist taking more than his fair share of the pie.,consistent,1,1
22,The headstrong boy refused to listen to his parents and ran away from home.,consistent,1,1
23,The hierarchical structure of the company allowed the superior men to make all the decisions.,consistent,1,1
24,The hostile group of men were quick to start a fight with anyone who disagreed with them.,consistent,1,1
25,The impulsive boy jumped off the bridge without considering the consequences.,consistent,1,1
26,The independent man preferred to work alone and didn't like being told what to do.,consistent,1,1
