Index,Sentences,Labels,about_Male,Masc_terms
1,The macho man flexed his muscles as he lifted the heavy weights at the gym.,consistent,1,1
2,The laconic boy responded with a simple nod when his teacher asked if he understood the lesson.,consistent,1,1
3,The brute of a man scared off the intruder with just one look.,consistent,1,1
4,The horned beast was no match for the wily hunter who brought him down with ease.,consistent,1,1
5,The manly man taught his son how to shave like a true gentleman.,consistent,1,1
6,The barbarian tribe raided neighboring villages in search of treasure and riches.,consistent,1,1
7,The burly construction workers lifted heavy beams and cement bags with ease.,consistent,1,1
8,The lefty pitcher struck out the opposing team's best batter.,consistent,1,1
9,The swashbuckling pirate sailed the high seas in search of treasure and adventure.,consistent,1,1
10,"The fitter men and boys participated in the annual marathon, determined to finish the race without breaking a sweat.",consistent,1,1
11,"The unionist man gave a rousing speech during the rally, inspiring the other men in the audience to take action.",consistent,1,1
12,"The aspirant boy spent hours practicing his guitar, dreaming of one day becoming a famous musician.",consistent,1,1
13,"The bully men intimidated their classmates, pushing around the younger boys with their physical strength.",consistent,1,1
14,"The shirtless man lounged by the pool, soaking up the sun's rays and sipping on a cold beverage.",consistent,1,1
15,The erect spear in the hands of the tribal man was a symbol of his bravery and courage in battle.,consistent,1,1
16,"The inshore fisherman caught a huge haul of fish, providing for his family and the local community.",consistent,1,1
17,The impaled man's screams echoed through the forest as he struggled to free himself from the sharp branches.,consistent,1,1
18,"The gruff old man didn't easily show his emotions, but he had a soft spot for his grandson, always buying him treats and telling him stories.",consistent,1,1
19,"The cricketing team of young boys practiced every day after school, determined to win their next big game.",consistent,1,1
20,"The compound-complex sentence, while difficult to understand at first, helped the literature student expand his understanding of sentence structure and grammar.",consistent,1,1
21,The prank played by the boys on their friend ended up going too far and resulted in a broken window.,consistent,1,1
22,The priestly man led the church service with grace and reverence.,consistent,1,1
23,The old man smiled at the children as they ran past him.,consistent,1,1
24,The backwoods boys knew the forest like the back of their hand and felt at home amongst the wildlife.,consistent,1,1
25,"The quarterback threw the ball downfield to his teammate, who made an impressive catch.",consistent,1,1
26,"The upwind breeze carried the scent of pine through the air, rustling the boy's hair as he wandered through the forest.",consistent,1,1
27,The Episcopal Church held a charity event to raise money for the local shelter.,consistent,1,1
28,"The wingless bird flapped its wings futilely, trying to take flight and join its flock in the sky.",consistent,1,1
29,"The adjutant officer barked orders at his troops, directing them with precision and efficiency.",consistent,1,1
30,The heretic's controversial beliefs caused him to be shunned by the church community.,consistent,1,1
31,The gravelly-voiced corporal barked orders at the young boys in training at the military seminary.,consistent,1,1
32,The butcher was a kind man who always took the time to chat with the neighborhood boys when they came in for meat.,consistent,1,1
33,The scalped man was rescued by a group of maverick adventurers who fought against the exclusionary policies of the government.,consistent,1,1
34,The expansionist leader rallied his men with speeches promising a new empire with them at the helm.,consistent,1,1
35,The imperialist explorer led a group of men on a dangerous journey to claim new lands for their empire.,consistent,1,1
36,"The warlike tribe of men were feared by all who encountered them, including neighboring villages.",consistent,1,1
37,The young boy was a maverick inventor who loved to experiment with new ideas.,consistent,1,1
38,"The seminary produced many great men, including a few who went on to become powerful imperialist leaders.",consistent,1,1
39,"The corporal's stern exterior hid his kind heart, and he was often seen playing with the boys in his unit.",consistent,1,1
40,The expansionist movement was met with resistance from some men who feared it would lead to warlike aggression.,consistent,1,1
41,The sportive boy scored the winning goal in the soccer game.,consistent,1,1
42,The cutthroat business competition between the two men resulted in a merger.,consistent,1,1
43,Deployable troops were sent to the interprovincial border for security purposes.,consistent,1,1
44,The balding man decided to shave his head completely.,consistent,1,1
45,"The brooding teenager sat in his room, lost in thought.",consistent,1,1
46,The knightly gentleman opened the door for the lady.,consistent,1,1
47,The offside call by the referee caused frustration among the players.,consistent,1,1
48,"The nomad traveled from one country to another, never staying in one place for too long.",consistent,1,1
49,The vert cliffs provided a breathtaking view of the ocean.,consistent,1,1
50,"Although the man was initially hesitant, he eventually agreed to join the cutthroat business venture with the other men, and now he is one of the most successful deployable businessmen in the interprovincial market, always maintaining a sportive attitude.",consistent,1,1
51,The booming voice of the man in charge echoed through the factory as he gave his supervisory orders.,consistent,1,1
52,"The gangsta boys swaggered down the street, making the other pedestrians nervous.",consistent,1,1
53,The elite team of mercenaries were hired to take down the fearsome dictator.,consistent,1,1
54,The excommunicate man felt lost and alone after being ostracized from his religious community.,consistent,1,1
55,"The unplaced boy wandered aimlessly through the crowded park, unsure of where to go.",consistent,1,1
56,The apostate guru was shunned by his former followers after renouncing his religious beliefs.,consistent,1,1
57,The foul smell emanating from the locker room was enough to make any man gag.,consistent,1,1
58,The mercenary soldier carried out his deadly mission with precision and skill.,consistent,1,1
59,The complex instructions given by the supervisory manager left the male workers feeling overwhelmed.,consistent,1,1
60,The booming laughter of the group of boys playing basketball could be heard from all the way across the park.,consistent,1,1
61,The denominational man visited the church every Sunday without fail.,consistent,1,1
62,The stubby boy struggled to reach the top shelf in the library.,consistent,1,1
63,The heavyweight wrestler made it to the finals in the tournament.,consistent,1,1
64,The celibate man lived a life entirely devoted to spiritual pursuits.,consistent,1,1
65,The landowning man refused to sell his property for the proposed highway.,consistent,1,1
66,The unscathed boy emerged from the car accident without a scratch.,consistent,1,1
67,The smoking man lit up a cigarette as he waited for the train.,consistent,1,1
